,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,38.46,13.42,14.86,41.2,264.0,15.6,16.12,10.56,14.58,21.28,12.08,17.84,2140.0
1,36.4,13.56,14.280000000000001,32.4,210.0,15.3,15.52,10.52,12.56,18.759999999999998,12.1,16.8,2110.0
2,36.32,14.719999999999999,15.34,47.2,212.0,15.6,16.48,10.6,15.620000000000001,21.36,12.06,16.34,2380.0
3,38.739999999999995,13.9,15.0,43.6,236.0,17.7,16.98,10.48,14.36,25.6,11.72,16.9,2970.0
4,36.480000000000004,15.18,15.74,52.0,246.0,15.6,15.379999999999999,10.78,13.64,18.64,12.08,15.86,1480.0
5,38.4,13.52,14.9,40.4,234.0,16.54,16.78,10.68,13.94,23.5,12.1,15.7,2910.0
6,38.78,13.74,14.9,39.2,202.0,15.0,15.04,10.6,13.96,20.5,12.04,17.16,2590.0
7,38.120000000000005,14.3,15.219999999999999,45.2,252.0,15.2,15.02,10.62,12.5,20.1,12.120000000000001,17.16,2600.0
8,39.66,13.28,14.34,38.0,204.0,15.6,15.96,10.58,13.96,20.4,12.16,15.7,2100.0
9,37.72,12.7,14.54,42.0,206.0,15.96,16.3,10.44,13.7,24.439999999999998,12.02,17.1,2100.0
10,38.2,14.32,14.6,46.0,220.0,15.9,16.64,10.44,14.76,21.5,12.5,16.34,3030.0
11,38.239999999999995,12.96,14.64,43.6,200.0,14.4,14.86,10.52,13.14,20.0,12.34,15.64,2570.0
12,37.5,13.46,14.82,42.0,188.0,15.2,15.52,10.58,13.620000000000001,21.2,12.3,15.8,2650.0
13,39.5,13.46,14.780000000000001,32.8,192.0,16.2,17.38,10.86,15.620000000000001,20.8,12.5,15.46,2310.0
14,38.760000000000005,13.74,14.76,34.0,214.0,16.6,17.28,10.58,15.92,25.0,12.4,16.0,3104.0
15,37.260000000000005,13.620000000000001,15.4,44.4,234.0,15.7,15.82,10.6,12.92,24.6,12.56,15.76,2630.0
16,38.6,13.84,15.440000000000001,50.0,250.0,15.6,16.28,10.66,13.94,22.4,12.14,15.3,2570.0
17,37.66,13.14,15.24,50.0,240.0,15.9,16.8,10.8,13.44,23.2,12.26,15.14,2270.0
18,38.379999999999995,13.18,14.96,43.0,226.0,16.6,17.86,10.64,13.72,27.4,12.46,15.64,3370.0
19,37.28,16.2,15.120000000000001,40.4,242.0,15.4,16.06,10.34,13.32,20.2,11.92,16.72,1700.0
20,38.120000000000005,13.26,14.559999999999999,42.0,262.0,16.0,16.34,10.48,14.2,21.3,12.18,17.42,1570.0
21,35.86,17.6,15.3,47.2,214.0,14.82,14.82,10.5,13.96,19.0,12.06,17.04,1550.0
