id,fecha,monto,categoria
1,2025-01-01,100.00,Electrónica
2,2025-01-02,50.00,Ropa
3,2025-01-03,200.00,Hogar
4,2025-01-04,150.00,Deportes
5,2025-01-05,80.00,Libros
6,2025-01-06,120.00,Juguetes
7,2025-01-07,90.00,Salud
8,2025-01-08,60.00,Alimentos
9,2025-01-09,110.00,Automotriz
10,2025-01-10,70.00,Viajes
11,2025-01-11,130.00,Entretenimiento
12,2025-01-12,95.00,Música
13,2025-01-13,85.00,Arte
14,2025-01-14,75.00,Oficina
15,2025-01-15,140.00,Salón de Belleza
16,2025-01-16,65.00,Restaurantes
17,2025-01-17,115.00,Servicios
18,2025-01-18,55.00,Electrodomésticos
19,2025-01-19,125.00,Accesorios
20,2025-01-20,105.00,Regalos
21,2025-01-21,135.00,Deportes
22,2025-01-22,80.00,Ropa
23,2025-01-23,150.00,Hogar
24,2025-01-24,90.00,Libros
25,2025-01-25,110.00,Juguetes
26,2025-01-26,70.00,Salud
27,2025-01-27,60.00,Alimentos
28,2025-01-28,130.00,Automotriz
29,2025-01-29,85.00,Viajes
30,2025-01-30,95.00,Entretenimiento
31,2025-01-31,75.00,Música
