transaction_id,customer_id,product_id,quantity,price,transaction_date
TXN001,CUST123,PROD456,2,29.99,2024-01-15
TXN002,CUST456,PROD789,1,49.99,2024-01-15
TXN003,CUST123,PROD101,5,15.50,2024-01-16
TXN004,CUST789,PROD456,1,29.99,2024-01-16
TXN005,CUST456,PROD202,3,22.00,2024-01-17
TXN006,CUST321,PROD789,2,49.99,2024-01-17
TXN007,CUST123,PROD303,1,99.99,2024-01-18
TXN008,CUST654,PROD101,10,15.50,2024-01-18
TXN009,CUST789,PROD456,1,29.99,2024-01-19
TXN010,CUST123,PROD789,2,49.99,2024-01-19
TXN011,CUST456,PROD456,3,29.99,2024-01-20
TXN012,CUST321,PROD101,2,15.50,2024-01-20
TXN013,CUST789,PROD202,1,22.00,2024-01-21
TXN014,CUST654,PROD789,4,49.99,2024-01-21
TXN015,CUST123,PROD456,1,29.99,2024-01-22
