transaction_id,customer_id,product_id,quantity,price,transaction_date
TXN0001,CUST654,PROD456,1,99.13,2024-01-11
TXN0002,CUST456,PROD202,3,53.89,2024-01-31
TXN0003,CUST456,PROD101,7,38.72,2024-01-08
TXN0004,CUST654,PROD202,2,77.31,2024-01-24
TXN0005,CUST123,PROD101,9,16.42,2024-01-07
TXN0006,CUST789,PROD789,5,27.42,2024-01-18
TXN0007,CUST456,PROD456,9,78.59,2024-01-10
TXN0008,CUST123,PROD303,4,18.57,2024-01-24
TXN0009,CUST654,PROD202,3,33.7,2024-01-18
TXN0010,CUST654,PROD456,9,90.86,2024-01-16
TXN0011,CUST789,PROD789,1,80.59,2024-01-29
TXN0012,CUST456,PROD789,7,34.74,2024-01-24
TXN0013,CUST321,PROD789,1,85.52,2024-01-01
TXN0014,CUST321,PROD789,10,31.38,2024-01-07
TXN0015,CUST123,PROD303,8,38.44,2024-01-05
TXN0016,CUST123,PROD303,8,87.78,2024-01-18
TXN0017,CUST456,PROD456,10,93.81,2024-01-25
TXN0018,CUST456,PROD202,8,39.03,2024-01-14
TXN0019,CUST789,PROD303,7,36.66,2024-01-19
TXN0020,CUST123,PROD789,8,87.23,2024-01-24
TXN0021,CUST321,PROD202,6,43.03,2024-01-27
TXN0022,CUST123,PROD456,6,11.96,2024-01-21
TXN0023,CUST789,PROD101,6,14.36,2024-01-09
TXN0024,CUST654,PROD101,5,76.32,2024-01-12
TXN0025,CUST321,PROD456,9,34.1,2024-01-02
TXN0026,CUST654,PROD202,2,77.91,2024-01-03
TXN0027,CUST456,PROD101,7,15.0,2024-01-24
TXN0028,CUST321,PROD456,3,64.93,2024-01-03
TXN0029,CUST654,PROD101,3,68.92,2024-01-08
TXN0030,CUST654,PROD202,4,62.13,2024-01-16
TXN0031,CUST789,PROD202,4,55.19,2024-01-18
TXN0032,CUST654,PROD456,4,53.58,2024-01-19
TXN0033,CUST123,PROD202,5,23.74,2024-01-21
TXN0034,CUST789,PROD789,2,63.21,2024-01-02
TXN0035,CUST654,PROD456,7,59.44,2024-01-23
TXN0036,CUST123,PROD789,5,82.63,2024-01-18
TXN0037,CUST321,PROD456,3,83.76,2024-01-03
TXN0038,CUST654,PROD789,8,86.78,2024-01-22
TXN0039,CUST321,PROD789,6,37.41,2024-01-01
TXN0040,CUST321,PROD456,3,99.82,2024-01-14
TXN0041,CUST654,PROD303,7,59.25,2024-01-05
TXN0042,CUST123,PROD202,7,76.37,2024-01-30
TXN0043,CUST321,PROD202,7,65.06,2024-01-23
TXN0044,CUST321,PROD303,7,85.18,2024-01-22
TXN0045,CUST456,PROD303,7,59.62,2024-01-01
TXN0046,CUST123,PROD202,8,87.45,2024-01-12
TXN0047,CUST321,PROD456,5,57.78,2024-01-11
TXN0048,CUST654,PROD202,4,97.29,2024-01-11
TXN0049,CUST456,PROD202,2,41.55,2024-01-18
TXN0050,CUST321,PROD456,7,16.24,2024-01-09
TXN0051,CUST789,PROD456,3,25.48,2024-01-30
TXN0052,CUST789,PROD456,5,80.37,2024-01-16
TXN0053,CUST123,PROD456,4,43.8,2024-01-26
TXN0054,CUST789,PROD101,8,86.09,2024-01-09
TXN0055,CUST456,PROD456,9,48.33,2024-01-06
TXN0056,CUST654,PROD202,6,63.93,2024-01-09
TXN0057,CUST654,PROD202,10,65.59,2024-01-20
TXN0058,CUST123,PROD202,5,65.36,2024-01-29
TXN0059,CUST123,PROD303,7,47.08,2024-01-05
TXN0060,CUST654,PROD202,7,87.27,2024-01-29
TXN0061,CUST123,PROD456,6,29.63,2024-01-22
TXN0062,CUST456,PROD303,7,53.43,2024-01-06
TXN0063,CUST789,PROD101,10,17.94,2024-01-02
TXN0064,CUST789,PROD789,1,39.52,2024-01-22
TXN0065,CUST123,PROD456,5,55.47,2024-01-23
TXN0066,CUST654,PROD202,7,99.14,2024-01-30
TXN0067,CUST123,PROD202,8,38.26,2024-01-27
TXN0068,CUST321,PROD101,6,92.61,2024-01-21
TXN0069,CUST321,PROD789,9,94.19,2024-01-26
TXN0070,CUST321,PROD456,10,67.33,2024-01-31
TXN0071,CUST654,PROD303,2,61.27,2024-01-04
TXN0072,CUST123,PROD101,4,32.33,2024-01-28
TXN0073,CUST456,PROD202,10,28.29,2024-01-25
TXN0074,CUST123,PROD101,7,93.61,2024-01-07
TXN0075,CUST456,PROD789,8,43.02,2024-01-02
TXN0076,CUST123,PROD202,9,63.11,2024-01-02
TXN0077,CUST123,PROD789,2,30.31,2024-01-15
TXN0078,CUST789,PROD456,5,69.59,2024-01-10
TXN0079,CUST123,PROD789,5,56.08,2024-01-08
TXN0080,CUST456,PROD789,4,68.48,2024-01-07
TXN0081,CUST456,PROD303,8,38.72,2024-01-04
TXN0082,CUST456,PROD456,5,34.16,2024-01-30
TXN0083,CUST456,PROD101,2,68.86,2024-01-05
TXN0084,CUST456,PROD202,1,77.27,2024-01-20
TXN0085,CUST789,PROD303,9,86.5,2024-01-09
TXN0086,CUST789,PROD202,8,18.76,2024-01-16
TXN0087,CUST123,PROD101,8,24.61,2024-01-11
TXN0088,CUST456,PROD101,8,17.44,2024-01-10
TXN0089,CUST321,PROD202,9,43.61,2024-01-17
TXN0090,CUST789,PROD303,2,22.71,2024-01-12
TXN0091,CUST789,PROD789,8,11.94,2024-01-03
TXN0092,CUST654,PROD101,8,45.8,2024-01-27
TXN0093,CUST789,PROD789,4,94.97,2024-01-01
TXN0094,CUST321,PROD101,5,86.21,2024-01-07
TXN0095,CUST456,PROD789,3,44.67,2024-01-13
TXN0096,CUST789,PROD202,6,24.76,2024-01-09
TXN0097,CUST654,PROD789,2,99.56,2024-01-18
TXN0098,CUST789,PROD202,3,10.63,2024-01-10
TXN0099,CUST789,PROD303,3,11.59,2024-01-31
TXN0100,CUST321,PROD101,1,34.17,2024-01-30
